# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
      11⋅17⋅47,                [42 48]
       2⋅3⋅5⋅293,              [29 49 59 71 77 97]
        59⋅149,                [12 30 72]
         2³⋅7⋅157,             [39 45]
          3²⋅977,              [10 14 46 56 74 94 100]
         2⋅4397,               []
        5⋅1759,                [12 42 54]
       2²⋅3⋅733,               [35 43 65 97]
      19⋅463,                  [66 90]
     2⋅53⋅83,                  [51]
    3⋅7⋅419,                   [20 38 62 68]
   2⁵⋅5²⋅11,                   [21 39 63 87 93]
  13⋅677,                      [18 48 60]
 2⋅3³⋅163,                     [19 61 65]
8803,                          [84 90]
 2²⋅31⋅71,                     [57 63]
  3⋅5⋅587,                     [2 26 44 58]
 2⋅7⋅17⋅37,                    [87]
8807,                          [24 54 60]
 2³⋅3⋅367,                     [29 55]
  23⋅383,                      [30 78]
   2⋅5⋅881,                    [27 57]
    3²⋅11⋅89,                  [8 28 50]
     2²⋅2203,                  [9 51 75 81]
      7⋅1259,                  [6]
     2⋅3⋅13⋅113,               [7 35 53 73]
    5⋅41⋅43,                   [78]
   2⁴⋅19⋅29,                   [33]
  3⋅2939,                      [14 70 76]
 2⋅4409,                       []
8819,                          [12]
 2²⋅3²⋅5⋅7²,                   [1 17 41 67 73]
8821,                          [18 42]
 2⋅11⋅401,                     [15 39]
  3⋅17⋅173,                    [16 40 44 70]
   2³⋅1103,                    [63]
    5²⋅353,                    [6 42]
     2⋅3⋅1471,                 [5 23]
    7⋅13⋅97,                   [66 96]
   2²⋅2207,                    [9 21]
  3⁴⋅109,                      [8 10]
 2⋅5⋅883,                      [9 93 99]
8831,                          []
 2⁷⋅3⋅23,                      [29 91]
  11²⋅73,                      [30 54 96]
   2⋅7⋅631,                    [3 15 27]
  3⋅5⋅19⋅31,                   [4 14 28 32 52 88 94 98]
 2²⋅47²,                       [57]
8837,                          [30 96]
 2⋅3²⋅491,                     [1 55 85 91]
8839,                          []
 2³⋅5⋅13⋅17,                   [9 21 93]
  3⋅7⋅421,                     [20 22 88 100]
   2⋅4421,                     [21 81]
    37⋅239,                    [6 24 90]
     2²⋅3⋅11⋅67,               [5 23 97]
    5⋅29⋅61,                   [42 84]
   2⋅4423,                     [15]
  3²⋅983,                      [16 40 86 94]
 2⁴⋅7⋅79,                      [45]
8849,                          [12 18]
 2⋅3⋅5²⋅59,                    [11 13 43]
  53⋅167,                      [12 72 90]
   2²⋅2213,                    [15 99]
    3⋅13⋅227,                  [14 34 70]
     2⋅19⋅233,                 [33 75]
      5⋅7⋅11⋅23,               [6]
     2³⋅3³⋅41,                 [7 37 73 77 95]
    17⋅521,                    [36]
   2⋅43⋅103,                   [9 75]
  3⋅2953,                      [28]
 2²⋅5⋅443,                     [81]
8861,                          []
 2⋅3⋅7⋅211,                    [1 25 31 79]
8863,                          [24 60]
 2⁵⋅277,                       [3]
  3²⋅5⋅197,                    [2 28 58 86]
 2⋅11⋅13⋅31,                   [27 63]
8867,                          [84]
 2²⋅3⋅739,                     [19 61 65]
  7²⋅181,                      []
   2⋅5⋅887,                    [63]
    3⋅2957,                    [22 52 92]
     2³⋅1109,                  [51 69]
      19⋅467,                  [90]
       2⋅3²⋅17⋅29,             [13 55 67 95]
        5³⋅71,                 [12 54 96]
         2²⋅7⋅317,             [57 93]
          3⋅11⋅269,            [10 16 46 56 74 94]
         2⋅23⋅193,             [15]
        13⋅683,                [72]
       2⁴⋅3⋅5⋅37,              [13 43 49 61]
      83⋅107,                  [42 60]
     2⋅4441,                   [51]
    3³⋅7⋅47,                   [46 80]
   2²⋅2221,                    [45]
  5⋅1777,                      [48 66 78]
 2⋅3⋅1481,                     [37 47 55 65 83]
8887,                          [84]
 2³⋅11⋅101,                    [81]
  3⋅2963,                      [40 52 82]
   2⋅5⋅7⋅127,                  [3 51]
  17⋅523,                      [42 60 72]
 2²⋅3²⋅13⋅19,                  [31 71]
8893,                          [30]
 2⋅4447,                       [57 75]
  3⋅5⋅593,                     [28 34 46 56 74 76]
   2⁶⋅139,                     [33 75]
    7⋅31⋅41,                   [36 66]
     2⋅3⋅1483,                 [31 35]
      11⋅809,                  []
       2²⋅5²⋅89,               [33 51 63 69]
        3²⋅23⋅43,              [40 62 70 98]
         2⋅4451,               [39 99]
          29⋅307,              [66 96]
           2³⋅3⋅7⋅53,          [37 65 67 97]
            5⋅13⋅137,          [18 66]
             2⋅61⋅73,          [45 57]
              3⋅2969,          [44 100]
               2²⋅17⋅131,      [15 21]
              59⋅151,          [42 60 90]
             2⋅3⁴⋅5⋅11,        [23 61 89 91]
            7⋅19⋅67,           [18 90]
           2⁴⋅557,             [51]
          3⋅2971,              [20 50 94]
         2⋅4457,               [27 93]
        5⋅1783,                [48 54 84 96]
       2²⋅3⋅743,               [53 55 85 95 97]
      37⋅241,                  [24 54 96]
     2⋅7³⋅13,                  [51 81]
    3²⋅991,                    [32 52 80 82 88]
   2³⋅5⋅223,                   [81]
  11⋅811,                      [90]
 2⋅3⋅1487,                     [29 85 91]
8923,                          [84]
 2²⋅23⋅97,                     [75 87]
  3⋅5²⋅7⋅17,                   [38 76 86 88]
   2⋅4463,                     [3 87]
  79⋅113,                      []
 2⁵⋅3²⋅31,                     [5 35 41 79]
8929,                          [42]
 2⋅5⋅19⋅47,                    [69 81 99]
  3⋅13⋅229,                    [2 38 68 70 82]
 2²⋅7⋅11⋅29,                   [9 39 69]
8933,                          [66 96]
 2⋅3⋅1489,                     [67 73 95]
  5⋅1787,                      [6 72]
   2³⋅1117,                    [75]
    3³⋅331,                    [4 14 70 74 76]
   2⋅41⋅109,                   [75]
  7⋅1277,                      [72 90]
 2²⋅3⋅5⋅149,                   [11 73]
8941,                          []
 2⋅17⋅263,                     [9]
  3⋅11⋅271,                    [20 56]
   2⁴⋅13⋅43,                   [57]
    5⋅1789,                    [84 96]
     2⋅3²⋅7⋅71,                [5 17 23 53 83 97]
    23⋅389,                    [24 54 60]
   2²⋅2237,                    [15 81]
  3⋅19⋅157,                    [20 62 100]
 2⋅5²⋅179,                     [21 57 63]
8951,                          [18 90]
 2³⋅3⋅373,                     [11 19 59 89 91]
  7⋅1279,                      [60 90]
   2⋅11²⋅37,                   [87]
    3²⋅5⋅199,                  [14 88 94]
     2²⋅2239,                  [15 93]
      13²⋅53,                  [6]
     2⋅3⋅1493,                 [71 91]
    17²⋅31,                    []
   2⁸⋅5⋅7,                     [9 99]
  3⋅29⋅103,                    [10 38 68 98]
 2⋅4481,                       [39]
8963,                          [96]
 2²⋅3³⋅83,                     [35 77]
  5⋅11⋅163,                    [36 42 78]
   2⋅4483,                     [3 33]
  3⋅7²⋅61,                     [4 34 44 74 100]
 2³⋅19⋅59,                     [39 45 75 81]
8969,                          []
 2⋅3⋅5⋅13⋅23,                  [1 29 37 41]
8971,                          [30 42 78]
 2²⋅2243,                      [39]
  3²⋅997,                      [40 86]
   2⋅7⋅641,                    [33]
    5²⋅359,                    [24]
     2⁴⋅3⋅11⋅17,               [25 35 53 83]
      47⋅191,                  [36 90]
       2⋅67²,                  []
        3⋅41⋅73,               [28 50]
         2²⋅5⋅449,             [87]
          7⋅1283,              [18 30 48]
           2⋅3²⋅499,           [19 31 59]
            13⋅691,            [60]
             2³⋅1123,          [15]
              3⋅5⋅599,         [14 16 22 44 56]
             2⋅4493,           [15 57 63]
            11⋅19⋅43,          [24 54]
           2²⋅3⋅7⋅107,         [19 25 55]
          89⋅101,              [18 60]
         2⋅5⋅29⋅31,            [21 39]
        3⁵⋅37,                 [20 22 50 58 68]
       2⁵⋅281,                 [21 51 99]
      17⋅23²,                  []
     2⋅3⋅1499,                 [65]
    5⋅7⋅257,                   [54 72]
   2²⋅13⋅173,                  [33 45 63]
  3⋅2999,                      [46]
 2⋅11⋅409,                     [69]
8999,                          [30]
 2³⋅3²⋅5³,                     [1 29 49 59 67]
9001,                          []
 2⋅7⋅643,                      [39]
  3⋅3001,                      [4 40]
   2²⋅2251,                    [3 63]
  5⋅1801,                      [6 36 54]
 2⋅3⋅19⋅79,                    [5 7 35 37 43]
9007,                          [6 36 84]
 2⁴⋅563,                       []
  3²⋅7⋅11⋅13,                  [2 40 58]
 2⋅5⋅17⋅53,                    [3 39 81]
9011,                          [48]
 2²⋅3⋅751,                     [1 79]
9013,                          [90]
 2⋅4507,                       [15 45]
  3⋅5⋅601,                     [14 44 52]
   2³⋅7²⋅23,                   [75 87 93]
    71⋅127,                    []
     2⋅3³⋅167,                 [11 49 85]
      29⋅311,                  [48 90]
       2²⋅5⋅11⋅41,             [9 21]
        3⋅31⋅97,               [8 20 22 70 88]
       2⋅13⋅347,               [21 81]
      7⋅1289,                  []
     2⁶⋅3⋅47,                  [17 25]
    5²⋅19²,                    [18 24 84]
   2⋅4513,                     [15]
  3²⋅17⋅59,                    [14 16 64 76]
 2²⋅37⋅61,                     [15 21 99]
9029,                          [30]
 2⋅3⋅5⋅7⋅43,                   [19 29 61 79 97]
  11⋅821,                      [18 60]
   2³⋅1129,                    []
    3⋅3011,                    [26 34 70 100]
     2⋅4517,                   [33 93]
      5⋅13⋅139,                [6 24]
     2²⋅3²⋅251,                [7 23 67 73]
    7⋅1291,                    [30 66 96]
   2⋅4519,                     []
  3⋅23⋅131,                    [10 28 70 88 98]
 2⁴⋅5⋅113,                     [27 69]
9041,                          []
 2⋅3⋅11⋅137,                   [1 91]
9043,                          []
 2²⋅7⋅17⋅19,                   [15 93]
  3³⋅5⋅67,                     [4 46 82]
   2⋅4523,                     [3 45]
  83⋅109,                      []
 2³⋅3⋅13⋅29,                   [19 79 85]
9049,                          [42 78]
 2⋅5²⋅181,                     [9 87]
  3⋅7⋅431,                     [8 40 52 82 100]
   2²⋅31⋅73,                   [39 51 81]
    11⋅823,                    [84]
     2⋅3²⋅503,                 [5 13 55 83]
    5⋅1811,                    [12 48 54]
   2⁵⋅283,                     []
  3⋅3019,                      [46 94]
 2⋅7⋅647,                      [9 45 51]
9059,                          []
 2²⋅3⋅5⋅151,                   [31 49 91 97]
  13⋅17⋅41,                    [48 90]
   2⋅23⋅197,                   [99]
    3²⋅19⋅53,                  [4 64 94]
   2³⋅11⋅103,                  [63 93]
  5⋅7²⋅37,                     [96]
 2⋅3⋅1511,                     [25 37 67 95]
9067,                          [24 60 66]
 2²⋅2267,                      [69]
  3⋅3023,                      [40 58 68]
   2⋅5⋅907,                    [21 57 63]
    47⋅193,                    []
