# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  117, 3² 13,         ,               0,  2,  5,  7,   0,   15,  3,   2,   1,   24,  6,   35,  31,  23,  11,  58,  56,  50,  46,  44
  118, 2 59,          radical,        1,  3,  6,  8,   1,   16,  4,   3,   2,   25,  7,   36,  32,  24,  12,  0,   57,  51,  47,  45
  119, 7 17,          radical,        2,  4,  0,  9,   2,   0,   5,   4,   3,   26,  8,   37,  33,  25,  13,  1,   58,  52,  48,  46
  120, 2³ 3 5,        ,               0,  0,  1,  10,  3,   1,   6,   5,   4,   27,  9,   38,  34,  26,  14,  2,   59,  53,  49,  47
  121, 11²,           prime power,    1,  1,  2,  0,   4,   2,   7,   6,   5,   28,  10,  39,  35,  27,  15,  3,   60,  54,  50,  48
  122, 2 61,          radical,        2,  2,  3,  1,   5,   3,   8,   7,   6,   29,  11,  40,  36,  28,  16,  4,   0,   55,  51,  49
  123, 3 41,          radical,        0,  3,  4,  2,   6,   4,   9,   8,   7,   30,  12,  0,   37,  29,  17,  5,   1,   56,  52,  50
  124, 2² 31,         ,               1,  4,  5,  3,   7,   5,   10,  9,   8,   0,   13,  1,   38,  30,  18,  6,   2,   57,  53,  51
  125, 5³,            prime power,    2,  0,  6,  4,   8,   6,   11,  10,  9,   1,   14,  2,   39,  31,  19,  7,   3,   58,  54,  52
  126, 2 3² 7,        ,               0,  1,  0,  5,   9,   7,   12,  11,  10,  2,   15,  3,   40,  32,  20,  8,   4,   59,  55,  53
  127, 127,           prime,          1,  2,  1,  6,   10,  8,   13,  12,  11,  3,   16,  4,   41,  33,  21,  9,   5,   60,  56,  54
  128, 2⁷,            prime power,    2,  3,  2,  7,   11,  9,   14,  13,  12,  4,   17,  5,   42,  34,  22,  10,  6,   61,  57,  55
  129, 3 43,          radical,        0,  4,  3,  8,   12,  10,  15,  14,  13,  5,   18,  6,   0,   35,  23,  11,  7,   62,  58,  56
  130, 2 5 13,        radical,        1,  0,  4,  9,   0,   11,  16,  15,  14,  6,   19,  7,   1,   36,  24,  12,  8,   63,  59,  57
  131, 131,           prime,          2,  1,  5,  10,  1,   12,  17,  16,  15,  7,   20,  8,   2,   37,  25,  13,  9,   64,  60,  58
  132, 2² 3 11,       ,               0,  2,  6,  0,   2,   13,  18,  17,  16,  8,   21,  9,   3,   38,  26,  14,  10,  65,  61,  59
  133, 7 19,          radical,        1,  3,  0,  1,   3,   14,  0,   18,  17,  9,   22,  10,  4,   39,  27,  15,  11,  66,  62,  60
  134, 2 67,          radical,        2,  4,  1,  2,   4,   15,  1,   19,  18,  10,  23,  11,  5,   40,  28,  16,  12,  0,   63,  61
  135, 3³ 5,          ,               0,  0,  2,  3,   5,   16,  2,   20,  19,  11,  24,  12,  6,   41,  29,  17,  13,  1,   64,  62
  136, 2³ 17,         ,               1,  1,  3,  4,   6,   0,   3,   21,  20,  12,  25,  13,  7,   42,  30,  18,  14,  2,   65,  63
  137, 137,           prime,          2,  2,  4,  5,   7,   1,   4,   22,  21,  13,  26,  14,  8,   43,  31,  19,  15,  3,   66,  64
  138, 2 3 23,        radical,        0,  3,  5,  6,   8,   2,   5,   0,   22,  14,  27,  15,  9,   44,  32,  20,  16,  4,   67,  65
  139, 139,           prime,          1,  4,  6,  7,   9,   3,   6,   1,   23,  15,  28,  16,  10,  45,  33,  21,  17,  5,   68,  66
  140, 2² 5 7,        ,               2,  0,  0,  8,   10,  4,   7,   2,   24,  16,  29,  17,  11,  46,  34,  22,  18,  6,   69,  67
  141, 3 47,          radical,        0,  1,  1,  9,   11,  5,   8,   3,   25,  17,  30,  18,  12,  0,   35,  23,  19,  7,   70,  68
  142, 2 71,          radical,        1,  2,  2,  10,  12,  6,   9,   4,   26,  18,  31,  19,  13,  1,   36,  24,  20,  8,   0,   69
