# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
3287,   19 173,        [36 84],                     radical
3288,   2³ 3 137,      [31 35 59 71 85],            
3289,   11 13 23,      [18 30 72],                  radical
3290,   2 5 7 47,      [33 39 69 81 99],            radical
3291,   3 1097,        [32 38 40 70 82 100],        radical
3292,   2² 823,        [21 39],                     
3293,   37 89,         [36],                        radical
3294,   2 3³ 61,       [35 37 65 77],               
3295,   5 659,         [24 36 66 78],               radical
3296,   2⁵ 103,        [75 93],                     
3297,   3 7 157,       [26 46 76 94],               radical
3298,   2 17 97,       [45],                        radical
3299,   3299,          [48 90],                     prime twin
3300,   2² 3 5² 11,    [1 29 43 47 71 91],          
3301,   3301,          [30 42 72],                  prime twin
3302,   2 13 127,      [45],                        radical
3303,   3² 367,        [4 44 86],                   
3304,   2³ 7 59,       [3 87],                      
3305,   5 661,         [54 84],                     radical
3306,   2 3 19 29,     [7 53 55 85],                radical
3307,   3307,          [6 36 54],                   prime
3308,   2² 827,        [51 99],                     
3309,   3 1103,        [10 38 50 52 80],            radical
3310,   2 5 331,       [3 9 51 81],                 radical
3311,   7 11 43,       [12 60],                     radical
3312,   2⁴ 3² 23,      [11 59 61 95],               
3313,   3313,          [6 60],                      prime
3314,   2 1657,        [15 57 93],                  radical
3315,   3 5 13 17,     [8 14 16 44 56 58 98],       radical
3316,   2² 829,        [3 15 45 57],                
3317,   31 107,        [96],                        radical
3318,   2 3 7 79,      [5 11 89],                   radical
3319,   3319,          [12],                        prime
3320,   2³ 5 83,       [69],                        
3321,   3⁴ 41,         [2 8 22 50 68 70 92],        
3322,   2 11 151,      [9 21 51 69],                radical
3323,   3323,          [24 66],                     prime
3324,   2² 3 277,      [5 23 65 67],                
3325,   5² 7 19,       [6 18 66],                   
3326,   2 1663,        [3],                         radical
3327,   3 1109,        [4 20],                      radical
3328,   2⁸ 13,         [15],                        
3329,   3329,          [30 78],                     prime twin
3330,   2 3² 5 37,     [1 17 29 31 59 77],          
3331,   3331,          [12 30 60],                  prime twin
3332,   2² 7² 17,      [75 81],                     
3333,   3 11 101,      [10 14 26 74 80],            radical
3334,   2 1667,        [27],                        radical
3335,   5 23 29,       [12 36 78],                  radical
3336,   2³ 3 139,      [7 23 35 37 77],             
3337,   47 71,         [6 24 36],                   radical
3338,   2 1669,        [9],                         radical
3339,   3² 7 53,       [8 20 32 68],                
3340,   2² 5 167,      [21 33],                     
3341,   13 257,        [18],                        radical
3342,   2 3 557,       [19 29 71 91],               radical
3343,   3343,          [30 90],                     prime
3344,   2⁴ 11 19,      [15 45],                     
3345,   3 5 223,       [2 14 16 26 44 46 88],       radical
3346,   2 7 239,       [15 27 45 87],               radical
3347,   3347,          [24],                        prime
3348,   2² 3³ 31,      [25 41],                     
3349,   17 197,        [42],                        radical
3350,   2 5² 67,       [21 99],                     
3351,   3 1117,        [8 20 22 38 98],             radical
3352,   2³ 419,        [9 21 39 81],                
3353,   7 479,         [6 54 96],                   radical
3354,   2 3 13 43,     [7 35 53 95],                radical
3355,   5 11 61,       [36],                        radical
3356,   2² 839,        [33 57],                     
3357,   3² 373,        [14 34 50 56 100],           
3358,   2 23 73,       [15 99],                     radical
3359,   3359,          [12 30],                     prime twin
3360,   2⁵ 3 5 7,      [1 13 29 31 47 53 89],       
3361,   3361,          [30],                        prime twin
3362,   2 41²,         [],                          
3363,   3 19 59,       [44 50],                     radical
3364,   2² 29²,        [93],                        radical power
3365,   5 673,         [6 42],                      radical
3366,   2 3² 11 17,    [5 7 23 47 67 95],           
3367,   7 13 37,       [6 24 66 96],                radical
3368,   2³ 421,        [21 39 45],                  
3369,   3 1123,        [22 38 98],                  radical
3370,   2 5 337,       [63 99],                     radical
3371,   3371,          [42],                        prime twin
3372,   2² 3 281,      [1 41],                      
3373,   3373,          [60],                        prime twin
3374,   2 7 241,       [15 75],                     radical
3375,   3³ 5³,         [14 16 32 74],               radical power
3376,   2⁴ 211,        [15 57],                     
3377,   11 307,        [30],                        radical
3378,   2 3 563,       [35 55 71 79],               radical
3379,   31 109,        [78],                        radical
3380,   2² 5 13²,      [9 33 81],                   
3381,   3 7² 23,       [8 10 52 68 80 82],          
3382,   2 19 89,       [9 51 75 81],                radical
3383,   17 199,        [24 84],                     radical
3384,   2³ 3² 47,      [23 65 77 83 85],            
3385,   5 677,         [72 78 84],                  radical
3386,   2 1693,        [27 63],                     radical
3387,   3 1129,        [26 74 80],                  radical
3388,   2² 7 11²,      [45 69 75 81],               
3389,   3389,          [18 60],                     prime twin
3390,   2 3 5 113,     [1 17 43 59 67 71 77],       radical
3391,   3391,          [72 78],                     prime twin
3392,   2⁶ 53,         [21 69],                     
3393,   3² 13 29,      [20 64 70 74],               
3394,   2 1697,        [63 75],                     radical
3395,   5 7 97,        [66 72 96],                  radical
3396,   2² 3 283,      [37 53 65 67 73 95],         
3397,   43 79,         [36 66],                     radical
3398,   2 1699,        [9 51 69],                   radical
3399,   3 11 103,      [8 68 70 92 100],            radical
3400,   2³ 5² 17,      [57 69 99],                  
3401,   19 179,        [12],                        radical
3402,   2 3⁵ 7,        [11 31 55 59 89],            
3403,   41 83,         [30 60 96],                  radical
3404,   2² 23 37,      [45 57],                     
3405,   3 5 227,       [44 58 62 86],               radical
3406,   2 13 131,      [63 93],                     radical
3407,   3407,          [60 84],                     prime
3408,   2⁴ 3 71,       [49 61],                     
3409,   7 487,         [48 90],                     radical
3410,   2 5 11 31,     [3 39 51 81],                radical
3411,   3² 379,        [22 38 50 52 80 88],         
3412,   2² 853,        [21 51 99],                  
3413,   3413,          [54],                        prime
3414,   2 3 569,       [43 53 55 85],               radical
3415,   5 683,         [42 54 84 96],               radical
3416,   2³ 7 61,       [45],                        
3417,   3 17 67,       [44 46 74 94],               radical
3418,   2 1709,        [45 99],                     radical
3419,   13 263,        [30 48 72],                  radical
3420,   2² 3² 5 19,    [13 29 47 49 91 97],         
3421,   11 311,        [48 78 90],                  radical
3422,   2 29 59,       [],                          radical
3423,   3 7 163,       [10 34 76 94],               radical
3424,   2⁵ 107,        [33 93],                     
3425,   5² 137,        [36 66],                     
3426,   2 3 571,       [35 37 65],                  radical
3427,   23 149,        [36 84],                     radical
